user_idx,book_idx,rating,city
4920,381,10.0,barcelona
4920,2244,8.0,barcelona
4920,2866,7.0,barcelona
4920,10804,9.0,barcelona
4920,19355,7.0,barcelona
4920,34324,6.0,barcelona
4920,34341,10.0,barcelona
4920,34535,10.0,barcelona
4920,36643,10.0,barcelona
4922,33939,9.0,barcelona
4922,34393,10.0,barcelona
4922,34621,7.0,barcelona
4922,34687,10.0,barcelona
4922,34936,9.0,barcelona
4922,35215,10.0,barcelona
4922,35510,6.0,barcelona
9,35567,10.0,barcelona
9,35661,6.0,barcelona
9,35698,6.0,barcelona
9,35754,6.0,barcelona
9,35850,10.0,barcelona
9,35993,9.0,barcelona
22,36193,7.0,barcelona
39,35110,10.0,barcelona
41,36001,8.0,barcelona
49,33996,8.0,barcelona
51,35207,9.0,barcelona
51,35529,10.0,barcelona
52,34770,9.0,barcelona
52,35124,7.0,barcelona
65,9470,10.0,barcelona
65,32392,8.0,barcelona
65,33912,9.0,barcelona
65,34719,7.0,barcelona
65,34876,7.0,barcelona
65,35081,10.0,barcelona
65,35975,8.0,barcelona
65,36209,8.0,barcelona
65,36243,7.0,barcelona
65,36247,5.0,barcelona
65,36266,10.0,barcelona
65,36719,10.0,barcelona
69,34294,8.0,barcelona
71,34617,6.0,barcelona
86,35433,10.0,barcelona
113,32905,9.0,barcelona
118,34603,10.0,barcelona
118,36242,10.0,barcelona
130,35698,8.0,barcelona
183,28476,10.0,barcelona
194,29472,7.0,barcelona
206,14530,8.0,barcelona
206,35764,9.0,barcelona
206,36243,10.0,barcelona
231,35069,7.0,barcelona
281,303,10.0,barcelona
281,312,8.0,barcelona
281,34358,7.0,barcelona
281,34395,8.0,barcelona
281,35046,10.0,barcelona
285,36289,10.0,barcelona
292,34294,6.0,barcelona
303,34893,9.0,barcelona
328,528,7.0,barcelona
351,34408,4.0,barcelona
373,34350,7.0,barcelona
373,34875,9.0,barcelona
373,35516,9.0,barcelona
373,35684,8.0,barcelona
373,35829,10.0,barcelona
373,36143,8.0,barcelona
373,36197,9.0,barcelona
378,36158,10.0,barcelona
442,34617,10.0,barcelona
464,36289,8.0,barcelona
510,21764,9.0,barcelona
510,34647,8.0,barcelona
510,35259,9.0,barcelona
510,36726,10.0,barcelona
534,10661,10.0,barcelona
534,34185,7.0,barcelona
534,34621,10.0,barcelona
534,34905,10.0,barcelona
534,35485,8.0,barcelona
534,35529,10.0,barcelona
534,35863,10.0,barcelona
534,36243,10.0,barcelona
534,36641,10.0,barcelona
534,36724,7.0,barcelona
559,15949,10.0,barcelona
559,36280,10.0,barcelona
564,34934,9.0,barcelona
583,21214,8.0,barcelona
584,34758,6.0,barcelona
593,2244,5.0,barcelona
594,15720,8.0,barcelona
610,911,9.0,barcelona
610,3985,10.0,barcelona
610,6198,6.0,barcelona
610,6615,7.0,barcelona
610,9105,10.0,barcelona
610,9493,10.0,barcelona
610,9573,9.0,barcelona
610,10513,7.0,barcelona
610,12780,9.0,barcelona
610,12800,9.0,barcelona
610,12842,8.0,barcelona
610,13046,6.0,barcelona
610,15009,9.0,barcelona
610,15137,7.0,barcelona
610,15519,9.0,barcelona
610,17271,8.0,barcelona
610,17492,7.0,barcelona
610,17856,10.0,barcelona
610,17963,9.0,barcelona
610,19627,5.0,barcelona
610,22791,9.0,barcelona
610,25946,9.0,barcelona
610,26310,8.0,barcelona
610,26323,10.0,barcelona
610,26337,8.0,barcelona
610,26378,9.0,barcelona
610,26405,9.0,barcelona
610,26406,9.0,barcelona
610,26407,7.0,barcelona
610,26452,10.0,barcelona
610,26485,9.0,barcelona
610,33831,9.0,barcelona
610,34147,5.0,barcelona
610,34248,7.0,barcelona
610,34264,7.0,barcelona
610,34324,8.0,barcelona
610,34615,10.0,barcelona
610,34928,9.0,barcelona
610,35076,10.0,barcelona
610,35131,6.0,barcelona
610,35309,9.0,barcelona
610,35420,6.0,barcelona
610,35903,7.0,barcelona
610,36190,7.0,barcelona
610,36219,9.0,barcelona
610,36247,8.0,barcelona
610,36643,10.0,barcelona
610,36648,10.0,barcelona
