user_idx,book_idx,rating,city
10622,20109,10.0,charleston
10622,32790,8.0,charleston
10640,24872,6.0,charleston
10640,25823,5.0,charleston
10640,35102,5.0,charleston
10640,37160,4.0,charleston
10640,43740,10.0,charleston
15,8099,7.0,charleston
179,2206,8.0,charleston
179,10801,10.0,charleston
179,11298,9.0,charleston
179,16188,8.0,charleston
179,18341,10.0,charleston
179,18409,8.0,charleston
179,19729,9.0,charleston
179,20306,10.0,charleston
179,20693,10.0,charleston
179,22528,10.0,charleston
179,23668,10.0,charleston
179,24817,9.0,charleston
179,25059,9.0,charleston
179,33453,9.0,charleston
179,34921,8.0,charleston
179,48625,8.0,charleston
643,13758,9.0,charleston
643,29228,8.0,charleston
670,43116,6.0,charleston
1091,2416,10.0,charleston
1091,2883,10.0,charleston
1091,2968,10.0,charleston
1091,11091,10.0,charleston
1091,14973,10.0,charleston
1091,15218,10.0,charleston
1091,19722,10.0,charleston
1091,20761,10.0,charleston
1091,26792,10.0,charleston
1091,26793,10.0,charleston
1091,40636,10.0,charleston
1094,1840,9.0,charleston
1094,2543,9.0,charleston
1094,2839,10.0,charleston
1094,3288,10.0,charleston
1094,4134,10.0,charleston
1094,4252,10.0,charleston
1094,4670,10.0,charleston
1094,5056,10.0,charleston
1094,5701,10.0,charleston
1094,6183,10.0,charleston
1094,8762,9.0,charleston
1094,9696,9.0,charleston
1094,9743,9.0,charleston
1094,11012,10.0,charleston
1094,11709,9.0,charleston
1094,12597,8.0,charleston
1094,14059,10.0,charleston
1094,14605,9.0,charleston
1094,16066,8.0,charleston
1094,16188,9.0,charleston
1094,18491,8.0,charleston
1094,18658,8.0,charleston
1094,18711,8.0,charleston
1094,19554,9.0,charleston
1094,19809,10.0,charleston
1094,19849,8.0,charleston
1094,19887,7.0,charleston
1094,19998,8.0,charleston
1094,20089,9.0,charleston
1094,20347,10.0,charleston
1094,20740,9.0,charleston
1094,20894,4.0,charleston
1094,21463,9.0,charleston
1094,21530,9.0,charleston
1094,22471,7.0,charleston
1094,22937,7.0,charleston
1094,23373,9.0,charleston
1094,23668,10.0,charleston
1094,23803,8.0,charleston
1094,23938,9.0,charleston
1094,24300,10.0,charleston
1094,25059,9.0,charleston
1094,25062,9.0,charleston
1094,25407,10.0,charleston
1094,26909,10.0,charleston
1094,27000,10.0,charleston
1094,27040,8.0,charleston
1094,27472,10.0,charleston
1094,28667,10.0,charleston
1094,29433,10.0,charleston
1094,29957,8.0,charleston
