user_idx,book_idx,rating,city
18,11730,6.0,houston
18,15925,7.0,houston
18,16173,6.0,houston
18,31714,5.0,houston
41,17938,6.0,houston
72,27616,8.0,houston
111,45942,8.0,houston
202,1806,7.0,houston
202,1922,8.0,houston
202,13840,7.0,houston
202,16278,2.0,houston
202,29935,7.0,houston
202,39733,9.0,houston
202,50794,9.0,houston
236,8782,8.0,houston
236,10941,7.0,houston
236,11034,7.0,houston
236,11389,8.0,houston
236,11583,5.0,houston
236,13950,8.0,houston
236,13980,7.0,houston
236,14363,9.0,houston
236,16086,8.0,houston
236,19629,5.0,houston
236,19651,4.0,houston
236,19849,5.0,houston
236,21643,7.0,houston
236,22080,7.0,houston
236,22873,6.0,houston
236,26526,7.0,houston
236,26566,7.0,houston
236,26925,8.0,houston
236,27325,7.0,houston
236,29393,7.0,houston
236,31307,8.0,houston
236,32431,9.0,houston
236,32556,9.0,houston
236,32731,8.0,houston
236,32756,9.0,houston
236,32833,8.0,houston
236,36371,8.0,houston
236,37565,9.0,houston
236,39143,9.0,houston
271,2574,5.0,houston
271,9282,4.0,houston
271,19824,5.0,houston
271,19887,7.0,houston
271,20850,7.0,houston
271,21381,7.0,houston
271,21426,8.0,houston
271,27838,2.0,houston
357,19761,8.0,houston
389,21563,3.0,houston
389,45819,1.0,houston
394,684,7.0,houston
394,3142,8.0,houston
394,9365,9.0,houston
394,11040,3.0,houston
394,14707,2.0,houston
394,14808,8.0,houston
394,15165,7.0,houston
394,15354,5.0,houston
394,16030,6.0,houston
394,21866,8.0,houston
394,22604,7.0,houston
394,24637,6.0,houston
394,24648,9.0,houston
394,24664,7.0,houston
394,25169,7.0,houston
394,25934,7.0,houston
394,27830,6.0,houston
394,31324,7.0,houston
394,31365,5.0,houston
394,43052,4.0,houston
394,43055,7.0,houston
394,46507,4.0,houston
424,18750,5.0,houston
424,19932,5.0,houston
424,21457,4.0,houston
424,33498,6.0,houston
478,16168,7.0,houston
478,16188,6.0,houston
478,48020,4.0,houston
498,9642,7.0,houston
498,16270,9.0,houston
498,23980,8.0,houston
498,33331,4.0,houston
509,13738,6.0,houston
509,16451,7.0,houston
524,11198,6.0,houston
524,13760,8.0,houston
524,33237,8.0,houston
524,39377,7.0,houston
525,14035,8.0,houston
525,48275,9.0,houston
580,5809,7.0,houston
580,9628,9.0,houston
580,15929,9.0,houston
580,15951,9.0,houston
580,21092,9.0,houston
580,21275,7.0,houston
580,21375,8.0,houston
580,22475,8.0,houston
580,26729,9.0,houston
580,29835,9.0,houston
580,30922,6.0,houston
580,31250,9.0,houston
580,32519,7.0,houston
580,33301,9.0,houston
580,34410,9.0,houston
580,35193,7.0,houston
580,35494,9.0,houston
580,37596,9.0,houston
580,38654,7.0,houston
580,38716,9.0,houston
580,38734,8.0,houston
580,39207,9.0,houston
580,47003,8.0,houston
580,47005,7.0,houston
585,11353,6.0,houston
585,16262,8.0,houston
585,22235,9.0,houston
585,29535,9.0,houston
585,35114,2.0,houston
585,38716,9.0,houston
614,2277,4.0,houston
629,21541,7.0,houston
656,8697,5.0,houston
656,11751,6.0,houston
656,22338,7.0,houston
656,23992,6.0,houston
656,31492,5.0,houston
757,1741,4.0,houston
757,3041,4.0,houston
757,11316,7.0,houston
757,23981,9.0,houston
770,13503,4.0,houston
770,16372,7.0,houston
770,25191,7.0,houston
770,35930,8.0,houston
770,39733,9.0,houston
789,5453,6.0,houston
789,11012,7.0,houston
789,20269,4.0,houston
823,12700,5.0,houston
865,5996,6.0,houston
865,39730,6.0,houston
865,43128,4.0,houston
883,9455,7.0,houston
883,22648,9.0,houston
883,22772,9.0,houston
883,22776,9.0,houston
883,30639,9.0,houston
883,41792,9.0,houston
892,11454,6.0,houston
892,15884,6.0,houston
