user_idx,book_idx,rating,city
10617,40460,10.0,lisboa
10617,43412,10.0,lisboa
10617,43413,10.0,lisboa
105,57264,5.0,lisboa
225,6213,9.0,lisboa
225,32525,4.0,lisboa
230,57988,8.0,lisboa
249,2425,10.0,lisboa
249,7097,10.0,lisboa
249,9248,10.0,lisboa
249,26538,10.0,lisboa
249,30266,9.0,lisboa
249,57998,9.0,lisboa
249,58184,8.0,lisboa
309,57890,8.0,lisboa
335,27794,7.0,lisboa
335,30198,9.0,lisboa
426,5514,8.0,lisboa
426,57924,8.0,lisboa
426,57927,10.0,lisboa
426,57983,8.0,lisboa
426,58085,9.0,lisboa
426,58086,10.0,lisboa
455,4620,9.0,lisboa
455,5259,9.0,lisboa
455,5752,9.0,lisboa
455,8729,8.0,lisboa
455,9669,8.0,lisboa
455,11051,10.0,lisboa
455,11275,9.0,lisboa
455,11314,9.0,lisboa
455,11364,9.0,lisboa
455,11387,9.0,lisboa
455,14886,8.0,lisboa
455,15740,10.0,lisboa
455,16047,10.0,lisboa
455,18463,7.0,lisboa
455,18522,7.0,lisboa
455,18654,9.0,lisboa
455,21749,9.0,lisboa
455,22513,10.0,lisboa
455,27862,8.0,lisboa
455,31162,10.0,lisboa
455,31296,9.0,lisboa
455,31384,8.0,lisboa
455,31385,8.0,lisboa
455,31621,8.0,lisboa
455,31622,8.0,lisboa
455,32431,9.0,lisboa
455,32553,5.0,lisboa
455,38858,7.0,lisboa
455,38859,7.0,lisboa
455,47900,6.0,lisboa
455,47903,6.0,lisboa
455,49545,7.0,lisboa
455,50900,9.0,lisboa
455,50910,9.0,lisboa
455,50911,9.0,lisboa
455,50916,9.0,lisboa
455,50917,9.0,lisboa
455,50923,9.0,lisboa
455,50924,9.0,lisboa
491,33283,6.0,lisboa
491,38964,8.0,lisboa
491,49802,10.0,lisboa
523,57892,8.0,lisboa
579,58011,7.0,lisboa
671,57922,7.0,lisboa
671,58128,10.0,lisboa
859,4911,8.0,lisboa
859,57925,8.0,lisboa
859,57931,9.0,lisboa
859,58088,10.0,lisboa
859,58092,9.0,lisboa
859,58145,8.0,lisboa
974,56,10.0,lisboa
974,326,3.0,lisboa
974,2425,10.0,lisboa
974,2968,7.0,lisboa
974,4245,9.0,lisboa
974,4619,4.0,lisboa
974,4802,6.0,lisboa
974,5516,10.0,lisboa
974,8152,7.0,lisboa
974,8841,8.0,lisboa
974,10859,10.0,lisboa
974,11039,10.0,lisboa
974,11133,8.0,lisboa
974,11167,10.0,lisboa
974,11176,9.0,lisboa
974,13840,10.0,lisboa
974,13941,10.0,lisboa
974,14517,8.0,lisboa
974,14743,9.0,lisboa
974,15494,8.0,lisboa
974,16285,4.0,lisboa
974,16607,9.0,lisboa
974,18602,9.0,lisboa
974,18812,5.0,lisboa
974,19665,9.0,lisboa
974,20620,8.0,lisboa
974,20660,8.0,lisboa
974,23373,9.0,lisboa
974,26047,9.0,lisboa
974,26881,9.0,lisboa
974,27678,9.0,lisboa
974,32733,9.0,lisboa
974,36335,5.0,lisboa
974,38585,8.0,lisboa
974,40471,10.0,lisboa
974,43746,7.0,lisboa
974,45951,9.0,lisboa
974,46014,8.0,lisboa
974,46765,9.0,lisboa
974,47411,8.0,lisboa
974,47900,8.0,lisboa
974,48295,10.0,lisboa
974,48311,9.0,lisboa
974,50047,9.0,lisboa
974,52720,9.0,lisboa
974,57899,9.0,lisboa
1372,1350,8.0,lisboa
1372,1995,9.0,lisboa
1372,23620,10.0,lisboa
1372,24349,6.0,lisboa
1372,26486,8.0,lisboa
1372,33037,7.0,lisboa
1372,37602,9.0,lisboa
1499,3595,9.0,lisboa
1499,57927,10.0,lisboa
1499,57934,9.0,lisboa
1499,58039,7.0,lisboa
1590,58235,6.0,lisboa
1633,4910,9.0,lisboa
1633,10496,8.0,lisboa
1633,28510,8.0,lisboa
1633,54165,7.0,lisboa
1633,54246,8.0,lisboa
1633,54247,10.0,lisboa
1633,54248,7.0,lisboa
1633,54746,10.0,lisboa
1633,54819,8.0,lisboa
1884,26587,7.0,lisboa
1898,1950,10.0,lisboa
2000,1350,6.0,lisboa
2000,1867,8.0,lisboa
2000,5374,8.0,lisboa
2000,6176,10.0,lisboa
2000,7506,9.0,lisboa
2000,8982,10.0,lisboa
2000,9587,10.0,lisboa
2000,9592,10.0,lisboa
2000,9596,10.0,lisboa
2000,9597,10.0,lisboa
2000,9603,6.0,lisboa
2000,10880,9.0,lisboa
2000,10991,10.0,lisboa
2000,10992,10.0,lisboa
2000,11419,8.0,lisboa
2000,14903,9.0,lisboa
2000,15458,10.0,lisboa
2000,19193,6.0,lisboa
2000,19225,9.0,lisboa
2000,19232,10.0,lisboa
2000,19315,10.0,lisboa
2000,24376,9.0,lisboa
2000,26587,8.0,lisboa
2000,26925,10.0,lisboa
2000,28666,9.0,lisboa
2000,29371,10.0,lisboa
2000,29372,10.0,lisboa
2000,32632,10.0,lisboa
2000,38199,10.0,lisboa
2000,39124,9.0,lisboa
2000,41771,10.0,lisboa
2000,41777,10.0,lisboa
2000,41786,10.0,lisboa
2000,41791,10.0,lisboa
2000,41808,10.0,lisboa
2000,44913,9.0,lisboa
2000,47960,10.0,lisboa
2000,51413,10.0,lisboa
2000,51787,9.0,lisboa
2000,52521,10.0,lisboa
2000,52591,10.0,lisboa
2000,52593,10.0,lisboa
2000,52714,10.0,lisboa
2000,52716,9.0,lisboa
2070,58045,2.0,lisboa
2070,58080,9.0,lisboa
2070,58136,7.0,lisboa
2136,8982,10.0,lisboa
2379,10019,8.0,lisboa
2379,34681,8.0,lisboa
2898,611,9.0,lisboa
2898,3040,9.0,lisboa
2898,4605,8.0,lisboa
2898,5508,8.0,lisboa
2898,5516,10.0,lisboa
2898,7095,9.0,lisboa
2898,8354,9.0,lisboa
2898,10880,7.0,lisboa
2898,10989,10.0,lisboa
2898,11051,10.0,lisboa
2898,11172,9.0,lisboa
2898,11233,9.0,lisboa
2898,19193,8.0,lisboa
2898,19225,8.0,lisboa
2898,19232,9.0,lisboa
2898,19584,8.0,lisboa
2898,20596,10.0,lisboa
2898,21633,9.0,lisboa
2898,22616,7.0,lisboa
2898,23379,9.0,lisboa
2898,23438,7.0,lisboa
2898,26007,10.0,lisboa
2898,27628,10.0,lisboa
2898,28666,10.0,lisboa
2898,29835,9.0,lisboa
2898,32201,8.0,lisboa
2898,38825,10.0,lisboa
2898,38840,9.0,lisboa
2898,38846,10.0,lisboa
2898,38864,8.0,lisboa
2898,38866,10.0,lisboa
2898,38878,9.0,lisboa
2898,38880,9.0,lisboa
2898,38886,8.0,lisboa
2898,38907,9.0,lisboa
2898,40460,10.0,lisboa
2898,40465,9.0,lisboa
2898,40466,9.0,lisboa
2898,40486,9.0,lisboa
2898,40632,8.0,lisboa
2898,40633,8.0,lisboa
2898,43412,10.0,lisboa
2898,43413,10.0,lisboa
2898,43430,7.0,lisboa
2898,43434,10.0,lisboa
2898,43441,8.0,lisboa
2898,46013,10.0,lisboa
2898,46014,10.0,lisboa
2898,47406,10.0,lisboa
2898,47411,10.0,lisboa
2898,58124,9.0,lisboa
3022,24967,5.0,lisboa
3022,28150,10.0,lisboa
3027,57986,10.0,lisboa
3050,58064,3.0,lisboa
3066,48295,6.0,lisboa
3085,579,8.0,lisboa
3085,1350,7.0,lisboa
3085,2087,8.0,lisboa
3085,2664,4.0,lisboa
3085,4245,10.0,lisboa
3085,4419,10.0,lisboa
3085,4916,9.0,lisboa
3085,5515,8.0,lisboa
3085,6205,9.0,lisboa
3085,7748,10.0,lisboa
3085,7785,10.0,lisboa
3085,8055,10.0,lisboa
3085,8354,9.0,lisboa
3085,9669,9.0,lisboa
3085,9926,10.0,lisboa
3085,10978,10.0,lisboa
3085,11167,10.0,lisboa
3085,11334,10.0,lisboa
3085,11335,10.0,lisboa
3085,11426,9.0,lisboa
3085,11474,9.0,lisboa
3085,13840,8.0,lisboa
3085,14051,10.0,lisboa
3085,14524,10.0,lisboa
3085,15363,9.0,lisboa
3085,15458,6.0,lisboa
3085,16371,9.0,lisboa
3085,18812,10.0,lisboa
3085,23578,9.0,lisboa
3085,23620,10.0,lisboa
3085,23929,9.0,lisboa
3085,23969,9.0,lisboa
3085,26568,10.0,lisboa
3085,27028,10.0,lisboa
3085,27674,10.0,lisboa
3085,29583,9.0,lisboa
3085,30907,9.0,lisboa
3085,31137,9.0,lisboa
3085,33041,9.0,lisboa
3085,33377,9.0,lisboa
3085,36335,4.0,lisboa
3085,36688,10.0,lisboa
3085,44215,9.0,lisboa
3085,44408,10.0,lisboa
3085,46014,10.0,lisboa
3085,47416,10.0,lisboa
3085,48239,9.0,lisboa
3085,53842,9.0,lisboa
3085,57795,10.0,lisboa
3085,58159,9.0,lisboa
3171,58075,6.0,lisboa
3202,2739,9.0,lisboa
3202,57245,9.0,lisboa
3202,57363,10.0,lisboa
3202,57367,9.0,lisboa
3202,57369,10.0,lisboa
3202,57372,10.0,lisboa
3202,57373,8.0,lisboa
3202,57383,10.0,lisboa
3202,57384,9.0,lisboa
3202,57989,9.0,lisboa
3202,58135,9.0,lisboa
3248,22613,10.0,lisboa
3408,58075,9.0,lisboa
3470,31117,10.0,lisboa
3470,57265,10.0,lisboa
3470,57900,8.0,lisboa
3470,58131,10.0,lisboa
3777,58120,9.0,lisboa
3897,4911,6.0,lisboa
4011,611,6.0,lisboa
4011,5079,10.0,lisboa
4011,5531,8.0,lisboa
4011,23620,10.0,lisboa
4011,27501,8.0,lisboa
4011,27768,8.0,lisboa
4011,30156,6.0,lisboa
4011,43412,9.0,lisboa
4011,51826,9.0,lisboa
4136,4267,7.0,lisboa
4136,4316,6.0,lisboa
4136,9088,7.0,lisboa
4136,11272,5.0,lisboa
4136,17673,5.0,lisboa
4136,18337,7.0,lisboa
4136,18353,8.0,lisboa
4136,18480,6.0,lisboa
4136,18503,6.0,lisboa
4136,22473,6.0,lisboa
4136,22590,6.0,lisboa
4136,31035,7.0,lisboa
4207,14973,10.0,lisboa
4207,27616,9.0,lisboa
4207,32288,10.0,lisboa
4207,40729,8.0,lisboa
4207,49497,9.0,lisboa
4207,57340,8.0,lisboa
4207,57892,9.0,lisboa
4207,58122,9.0,lisboa
4353,2242,8.0,lisboa
4353,20596,10.0,lisboa
4353,30907,8.0,lisboa
4353,40254,8.0,lisboa
4421,57983,9.0,lisboa
4569,2425,10.0,lisboa
4569,13982,7.0,lisboa
4771,844,10.0,lisboa
4771,9716,4.0,lisboa
4771,16285,10.0,lisboa
4771,23991,10.0,lisboa
4771,26007,10.0,lisboa
4771,36141,10.0,lisboa
4771,43581,9.0,lisboa
4771,43589,9.0,lisboa
4771,46765,10.0,lisboa
4771,47416,10.0,lisboa
4792,19745,9.0,lisboa
4812,5215,6.0,lisboa
4812,13412,10.0,lisboa
4812,14805,4.0,lisboa
4812,35099,7.0,lisboa
4812,57900,7.0,lisboa
4827,57986,10.0,lisboa
5013,4022,9.0,lisboa
5013,4637,9.0,lisboa
5013,4910,10.0,lisboa
5013,5149,9.0,lisboa
5013,5609,9.0,lisboa
5013,6286,9.0,lisboa
5013,13840,10.0,lisboa
5013,15715,9.0,lisboa
5013,15909,9.0,lisboa
5013,18484,9.0,lisboa
5013,22093,9.0,lisboa
5013,23517,8.0,lisboa
5013,23613,10.0,lisboa
5013,23900,8.0,lisboa
5013,29252,8.0,lisboa
5013,31346,9.0,lisboa
5013,32431,8.0,lisboa
5013,32687,9.0,lisboa
5013,32741,9.0,lisboa
5013,32814,9.0,lisboa
5013,34133,9.0,lisboa
5013,35228,9.0,lisboa
5013,47416,10.0,lisboa
5013,51415,9.0,lisboa
5013,51432,9.0,lisboa
5013,51990,10.0,lisboa
5013,52024,9.0,lisboa
5013,52052,8.0,lisboa
5013,52064,9.0,lisboa
5013,52408,8.0,lisboa
5013,52550,9.0,lisboa
5013,58128,9.0,lisboa
5164,58096,7.0,lisboa
5411,57984,10.0,lisboa
5447,45819,7.0,lisboa
5467,1806,6.0,lisboa
5467,5247,10.0,lisboa
5467,5514,8.0,lisboa
5467,6399,10.0,lisboa
5467,16676,9.0,lisboa
5467,21604,9.0,lisboa
5467,25619,10.0,lisboa
5467,28504,7.0,lisboa
5467,33784,8.0,lisboa
5467,48730,9.0,lisboa
5508,15458,8.0,lisboa
5508,40026,10.0,lisboa
5508,40254,9.0,lisboa
5508,57924,10.0,lisboa
5508,58001,7.0,lisboa
5514,9977,8.0,lisboa
5762,21749,8.0,lisboa
5762,26568,8.0,lisboa
5831,16370,8.0,lisboa
5849,4588,8.0,lisboa
5942,18326,9.0,lisboa
5972,57949,4.0,lisboa
5972,58123,8.0,lisboa
6022,23253,7.0,lisboa
6022,57892,9.0,lisboa
6022,58121,10.0,lisboa
6038,758,9.0,lisboa
6038,16356,10.0,lisboa
6038,51315,10.0,lisboa
6038,57175,9.0,lisboa
6038,57986,10.0,lisboa
6039,45819,2.0,lisboa
6039,55975,8.0,lisboa
6056,18812,6.0,lisboa
6056,29867,8.0,lisboa
6056,48255,10.0,lisboa
6056,57877,6.0,lisboa
6056,57900,6.0,lisboa
6056,57921,8.0,lisboa
6056,57960,8.0,lisboa
6056,58057,6.0,lisboa
6056,58067,6.0,lisboa
6223,34,6.0,lisboa
6223,4414,6.0,lisboa
6223,36366,6.0,lisboa
6223,57754,6.0,lisboa
6323,287,8.0,lisboa
6323,517,10.0,lisboa
6323,521,10.0,lisboa
6323,579,9.0,lisboa
6323,3583,10.0,lisboa
6323,3943,9.0,lisboa
6323,3978,8.0,lisboa
6323,4039,10.0,lisboa
6323,4081,9.0,lisboa
6323,5408,6.0,lisboa
6323,5426,8.0,lisboa
6323,8055,7.0,lisboa
6323,10056,8.0,lisboa
6323,10496,8.0,lisboa
6323,15005,10.0,lisboa
6323,23851,8.0,lisboa
6323,28182,10.0,lisboa
6323,28504,7.0,lisboa
6323,30192,7.0,lisboa
6323,30636,10.0,lisboa
6323,34290,9.0,lisboa
6323,34402,10.0,lisboa
6323,34407,7.0,lisboa
6323,35182,9.0,lisboa
6323,36371,8.0,lisboa
6323,38585,8.0,lisboa
6323,42582,8.0,lisboa
6323,44215,10.0,lisboa
6323,44531,8.0,lisboa
6323,45208,7.0,lisboa
6323,49715,8.0,lisboa
6323,49766,8.0,lisboa
6323,49773,7.0,lisboa
6323,53906,10.0,lisboa
6323,54386,10.0,lisboa
6323,56965,9.0,lisboa
6323,57924,10.0,lisboa
6323,58104,6.0,lisboa
6325,57939,6.0,lisboa
6341,19193,8.0,lisboa
6341,19232,9.0,lisboa
6529,805,9.0,lisboa
6529,1827,8.0,lisboa
6529,1873,9.0,lisboa
6529,2166,9.0,lisboa
6529,6128,9.0,lisboa
6529,19193,10.0,lisboa
6529,19225,10.0,lisboa
6529,19232,10.0,lisboa
6529,28666,10.0,lisboa
6529,29252,8.0,lisboa
6560,1350,8.0,lisboa
6560,11133,10.0,lisboa
6560,11291,6.0,lisboa
6560,11380,8.0,lisboa
6560,14641,7.0,lisboa
6560,19179,10.0,lisboa
