user_idx,book_idx,rating,city
169,5806,5.0,melbourne
169,18005,7.0,melbourne
169,45951,8.0,melbourne
178,3256,5.0,melbourne
178,4950,7.0,melbourne
178,5393,5.0,melbourne
203,3999,6.0,melbourne
237,30094,4.0,melbourne
301,45819,1.0,melbourne
334,30351,7.0,melbourne
371,2600,6.0,melbourne
371,11612,5.0,melbourne
385,3595,6.0,melbourne
385,26124,6.0,melbourne
420,4950,6.0,melbourne
420,31658,8.0,melbourne
440,3842,6.0,melbourne
440,30112,5.0,melbourne
452,36375,4.0,melbourne
526,36129,7.0,melbourne
557,36565,5.0,melbourne
564,36547,5.0,melbourne
610,34441,4.0,melbourne
650,19930,6.0,melbourne
664,3405,6.0,melbourne
685,34259,3.0,melbourne
699,26172,8.0,melbourne
705,30011,5.0,melbourne
909,4398,2.0,melbourne
936,9237,6.0,melbourne
987,4836,4.0,melbourne
993,335,7.0,melbourne
1054,4211,6.0,melbourne
1054,45819,1.0,melbourne
1087,4514,8.0,melbourne
1177,3611,4.0,melbourne
1177,10145,5.0,melbourne
1243,50496,7.0,melbourne
1262,3595,6.0,melbourne
1298,3210,7.0,melbourne
1298,3583,6.0,melbourne
1298,4698,6.0,melbourne
1298,39411,8.0,melbourne
1305,844,7.0,melbourne
1305,882,7.0,melbourne
1305,1950,8.0,melbourne
1305,4357,8.0,melbourne
1305,8155,6.0,melbourne
1305,12585,6.0,melbourne
1305,12606,6.0,melbourne
1305,16170,8.0,melbourne
1305,16172,7.0,melbourne
1305,16174,7.0,melbourne
1305,16175,8.0,melbourne
1305,16281,8.0,melbourne
1305,16352,6.0,melbourne
1305,30056,5.0,melbourne
1305,37647,5.0,melbourne
1308,42668,3.0,melbourne
1383,29791,6.0,melbourne
1387,34826,9.0,melbourne
1387,34834,8.0,melbourne
1427,36375,7.0,melbourne
1450,5044,6.0,melbourne
1494,34243,4.0,melbourne
1553,11271,7.0,melbourne
1557,49755,7.0,melbourne
1585,5060,7.0,melbourne
1685,26881,7.0,melbourne
1713,3215,8.0,melbourne
1713,26050,8.0,melbourne
1804,37604,8.0,melbourne
1866,10220,7.0,melbourne
2001,5030,7.0,melbourne
2143,3221,6.0,melbourne
2238,4083,4.0,melbourne
2394,36368,8.0,melbourne
2408,3533,8.0,melbourne
2408,4574,6.0,melbourne
2408,18600,8.0,melbourne
2421,15363,8.0,melbourne
2467,24051,6.0,melbourne
2550,1265,8.0,melbourne
2550,9716,1.0,melbourne
2550,19887,5.0,melbourne
2550,27616,5.0,melbourne
2550,30125,7.0,melbourne
2677,76,8.0,melbourne
2677,1350,3.0,melbourne
2677,13782,5.0,melbourne
2677,16365,8.0,melbourne
2677,33299,7.0,melbourne
2689,29766,6.0,melbourne
2825,36194,5.0,melbourne
2842,51091,6.0,melbourne
