user_idx,book_idx,rating,city
4939,1303,10.0,new york
4939,10675,9.0,new york
4939,19774,7.0,new york
4939,36432,10.0,new york
5,19978,9.0,new york
17,21117,10.0,new york
19,25041,9.0,new york
20,31413,10.0,new york
24,10804,8.0,new york
24,21368,8.0,new york
24,32837,6.0,new york
43,13243,6.0,new york
50,381,9.0,new york
50,15211,6.0,new york
50,25725,9.0,new york
53,7807,7.0,new york
53,9469,8.0,new york
53,10366,4.0,new york
58,10369,4.0,new york
124,317,10.0,new york
124,3425,8.0,new york
124,26453,8.0,new york
146,8108,10.0,new york
197,13917,6.0,new york
197,21593,6.0,new york
211,7533,8.0,new york
211,13199,10.0,new york
211,14126,10.0,new york
211,17741,9.0,new york
211,20029,9.0,new york
224,32608,10.0,new york
230,15732,9.0,new york
242,10490,7.0,new york
264,9611,9.0,new york
272,1482,8.0,new york
272,3198,6.0,new york
272,7923,8.0,new york
272,10985,10.0,new york
272,12213,6.0,new york
272,17907,10.0,new york
272,18049,6.0,new york
272,21215,7.0,new york
272,21303,9.0,new york
272,32447,7.0,new york
306,6588,8.0,new york
306,21785,10.0,new york
312,7442,8.0,new york
326,21215,8.0,new york
347,14001,9.0,new york
347,19556,7.0,new york
347,26123,8.0,new york
374,3503,8.0,new york
374,13303,10.0,new york
377,1318,10.0,new york
430,7781,5.0,new york
430,9722,8.0,new york
430,12109,4.0,new york
430,13018,5.0,new york
430,14231,2.0,new york
430,15350,8.0,new york
430,16903,4.0,new york
430,20521,6.0,new york
443,12833,10.0,new york
458,9247,6.0,new york
470,16173,10.0,new york
482,1729,10.0,new york
482,3193,9.0,new york
482,3725,10.0,new york
482,5256,9.0,new york
482,8484,9.0,new york
482,8486,8.0,new york
482,8491,8.0,new york
482,8498,9.0,new york
482,8505,6.0,new york
482,8514,4.0,new york
482,14002,7.0,new york
482,14407,5.0,new york
482,17452,10.0,new york
482,18339,6.0,new york
482,23151,6.0,new york
482,24570,4.0,new york
482,25751,9.0,new york
482,29540,9.0,new york
536,6653,6.0,new york
536,6665,6.0,new york
536,10715,6.0,new york
536,15979,6.0,new york
536,28548,6.0,new york
551,7559,10.0,new york
573,399,10.0,new york
573,569,8.0,new york
573,882,8.0,new york
573,10684,10.0,new york
573,12454,7.0,new york
573,13028,9.0,new york
573,14694,10.0,new york
573,16720,10.0,new york
573,16722,10.0,new york
573,17493,7.0,new york
573,24613,8.0,new york
573,25901,9.0,new york
573,25976,10.0,new york
573,30142,10.0,new york
579,21173,10.0,new york
585,634,8.0,new york
585,16924,7.0,new york
585,32403,9.0,new york
591,21501,8.0,new york
614,9524,9.0,new york
665,8042,6.0,new york
665,10756,8.0,new york
666,11772,10.0,new york
672,9505,10.0,new york
672,10977,10.0,new york
672,13169,10.0,new york
672,19536,10.0,new york
672,19746,10.0,new york
672,21161,10.0,new york
672,21594,9.0,new york
674,14850,8.0,new york
687,24207,6.0,new york
692,359,6.0,new york
697,7793,8.0,new york
710,18023,8.0,new york
710,20678,9.0,new york
738,5878,5.0,new york
738,8076,8.0,new york
738,9353,2.0,new york
738,10512,6.0,new york
738,10868,4.0,new york
738,25722,6.0,new york
738,29372,2.0,new york
741,21792,10.0,new york
742,15949,10.0,new york
742,19774,10.0,new york
744,319,9.0,new york
752,28053,7.0,new york
765,18580,5.0,new york
782,28941,10.0,new york
783,24841,8.0,new york
817,14284,10.0,new york
819,21368,10.0,new york
849,32168,9.0,new york
849,32169,8.0,new york
897,11276,9.0,new york
897,14713,9.0,new york
917,9617,9.0,new york
929,21133,10.0,new york
951,29440,10.0,new york
974,1416,4.0,new york
974,3255,8.0,new york
974,3414,10.0,new york
974,4857,10.0,new york
974,6592,5.0,new york
974,10707,7.0,new york
974,10715,10.0,new york
974,11343,8.0,new york
974,15768,9.0,new york
974,17480,10.0,new york
974,17794,9.0,new york
974,19571,3.0,new york
974,25245,2.0,new york
987,11068,10.0,new york
1012,17693,8.0,new york
1019,7638,10.0,new york
1021,1907,9.0,new york
1025,10820,7.0,new york
1062,6658,10.0,new york
1062,9385,10.0,new york
1062,10857,6.0,new york
1062,18134,10.0,new york
1062,19567,6.0,new york
1062,30940,10.0,new york
1095,4215,8.0,new york
1095,21088,8.0,new york
1107,9418,7.0,new york
1107,9425,7.0,new york
1107,18133,9.0,new york
1107,19534,8.0,new york
1109,20358,6.0,new york
1109,20533,8.0,new york
1109,27070,9.0,new york
1109,28969,8.0,new york
1125,17022,10.0,new york
1131,5029,5.0,new york
1137,10715,10.0,new york
1137,16980,10.0,new york
1140,10868,9.0,new york
1160,28700,5.0,new york
1165,11599,6.0,new york
1182,375,9.0,new york
1182,660,8.0,new york
1182,668,9.0,new york
1182,718,8.0,new york
1182,746,10.0,new york
1182,750,9.0,new york
1182,782,9.0,new york
1182,794,9.0,new york
1182,797,9.0,new york
1182,799,10.0,new york
1182,894,8.0,new york
1182,1145,10.0,new york
1182,1181,9.0,new york
1182,1198,9.0,new york
1182,1228,9.0,new york
1182,1230,9.0,new york
1182,1248,10.0,new york
1182,1250,10.0,new york
1182,1317,9.0,new york
1182,1390,9.0,new york
1182,1441,8.0,new york
1182,1884,10.0,new york
1182,1998,10.0,new york
1182,2448,8.0,new york
1182,2573,10.0,new york
1182,2590,10.0,new york
1182,2675,8.0,new york
1182,2677,10.0,new york
1182,2681,9.0,new york
1182,2701,10.0,new york
1182,2798,10.0,new york
1182,2814,9.0,new york
1182,2863,10.0,new york
1182,3017,9.0,new york
1182,3096,9.0,new york
1182,3143,9.0,new york
1182,3155,10.0,new york
1182,3173,10.0,new york
