user_idx,book_idx,rating,city
4916,13158,8.0,ottawa
4918,3080,5.0,ottawa
4918,27054,9.0,ottawa
4918,27068,9.0,ottawa
4918,28096,8.0,ottawa
4935,19659,7.0,ottawa
4937,20601,6.0,ottawa
4941,3857,8.0,ottawa
4941,32839,9.0,ottawa
4,3082,5.0,ottawa
32,4216,6.0,ottawa
34,3806,7.0,ottawa
34,10079,6.0,ottawa
76,13801,9.0,ottawa
76,15188,5.0,ottawa
76,25693,5.0,ottawa
76,30948,4.0,ottawa
83,15526,9.0,ottawa
87,28837,7.0,ottawa
88,14706,9.0,ottawa
88,30233,5.0,ottawa
89,29644,6.0,ottawa
98,32692,9.0,ottawa
108,3628,8.0,ottawa
111,19889,9.0,ottawa
116,18842,5.0,ottawa
132,7587,4.0,ottawa
142,27071,7.0,ottawa
150,12532,4.0,ottawa
155,16457,4.0,ottawa
169,1342,9.0,ottawa
169,3985,5.0,ottawa
169,5148,6.0,ottawa
169,6682,6.0,ottawa
169,9328,7.0,ottawa
169,9459,7.0,ottawa
169,13116,5.0,ottawa
169,14224,7.0,ottawa
169,14538,6.0,ottawa
169,22992,7.0,ottawa
169,25291,8.0,ottawa
169,30018,7.0,ottawa
170,11039,8.0,ottawa
191,13301,6.0,ottawa
209,7771,7.0,ottawa
222,15661,6.0,ottawa
226,9876,7.0,ottawa
229,9925,5.0,ottawa
229,26324,8.0,ottawa
229,26452,9.0,ottawa
233,2731,8.0,ottawa
233,3245,1.0,ottawa
233,6592,2.0,ottawa
233,14987,5.0,ottawa
233,25699,5.0,ottawa
243,6515,3.0,ottawa
265,1382,7.0,ottawa
265,11772,6.0,ottawa
265,14809,6.0,ottawa
265,25828,7.0,ottawa
271,12192,7.0,ottawa
283,7310,8.0,ottawa
284,11146,5.0,ottawa
284,21165,4.0,ottawa
296,6452,6.0,ottawa
315,5018,7.0,ottawa
315,8044,7.0,ottawa
315,9926,7.0,ottawa
315,10011,7.0,ottawa
315,10684,7.0,ottawa
315,13984,7.0,ottawa
315,14003,7.0,ottawa
315,14392,7.0,ottawa
315,19633,7.0,ottawa
315,27009,8.0,ottawa
315,30095,6.0,ottawa
315,30633,7.0,ottawa
315,32011,7.0,ottawa
316,7533,8.0,ottawa
317,13116,5.0,ottawa
329,3093,9.0,ottawa
356,8932,6.0,ottawa
356,17717,7.0,ottawa
356,24599,8.0,ottawa
357,18155,1.0,ottawa
381,154,3.0,ottawa
381,782,6.0,ottawa
381,2364,7.0,ottawa
381,7679,8.0,ottawa
381,7945,7.0,ottawa
381,12728,6.0,ottawa
381,12763,7.0,ottawa
381,13992,6.0,ottawa
381,24890,4.0,ottawa
390,12489,1.0,ottawa
424,9398,8.0,ottawa
433,18971,4.0,ottawa
450,26916,6.0,ottawa
461,6336,6.0,ottawa
474,19744,7.0,ottawa
480,3628,9.0,ottawa
515,22774,5.0,ottawa
539,14255,6.0,ottawa
560,20814,7.0,ottawa
576,3171,7.0,ottawa
582,24775,7.0,ottawa
587,20456,4.0,ottawa
589,2808,8.0,ottawa
599,14987,8.0,ottawa
599,17158,8.0,ottawa
606,17388,4.0,ottawa
606,20769,5.0,ottawa
622,1573,7.0,ottawa
622,1596,9.0,ottawa
622,1617,9.0,ottawa
622,1629,9.0,ottawa
622,1890,7.0,ottawa
622,2004,7.0,ottawa
622,7637,7.0,ottawa
622,7651,6.0,ottawa
622,12990,6.0,ottawa
622,14565,9.0,ottawa
622,14566,9.0,ottawa
622,14762,7.0,ottawa
622,19757,4.0,ottawa
622,22254,9.0,ottawa
622,28158,7.0,ottawa
622,28168,6.0,ottawa
622,28191,7.0,ottawa
624,3264,4.0,ottawa
624,21224,6.0,ottawa
642,3628,7.0,ottawa
644,14087,8.0,ottawa
644,22599,4.0,ottawa
656,8439,4.0,ottawa
677,7654,8.0,ottawa
677,15469,9.0,ottawa
685,30939,8.0,ottawa
709,3256,4.0,ottawa
709,5556,8.0,ottawa
709,5725,2.0,ottawa
709,8486,4.0,ottawa
709,10574,6.0,ottawa
709,10580,6.0,ottawa
709,11910,6.0,ottawa
709,15981,7.0,ottawa
709,19724,4.0,ottawa
709,22774,7.0,ottawa
709,26584,7.0,ottawa
709,27135,6.0,ottawa
718,1426,7.0,ottawa
723,19467,7.0,ottawa
727,4095,2.0,ottawa
727,19724,6.0,ottawa
746,15558,7.0,ottawa
746,15562,7.0,ottawa
760,912,7.0,ottawa
760,5556,7.0,ottawa
794,307,4.0,ottawa
794,2369,8.0,ottawa
794,3245,3.0,ottawa
794,10562,9.0,ottawa
804,3856,5.0,ottawa
804,4104,7.0,ottawa
804,8094,6.0,ottawa
804,8143,8.0,ottawa
804,9531,7.0,ottawa
804,10023,7.0,ottawa
804,10839,6.0,ottawa
804,14293,5.0,ottawa
804,15523,6.0,ottawa
804,15552,5.0,ottawa
804,15991,8.0,ottawa
804,16592,8.0,ottawa
804,17943,6.0,ottawa
804,18267,7.0,ottawa
804,21226,7.0,ottawa
804,29857,8.0,ottawa
862,14276,8.0,ottawa
871,2162,9.0,ottawa
871,7683,7.0,ottawa
871,10936,9.0,ottawa
871,12126,7.0,ottawa
871,12991,8.0,ottawa
871,17152,8.0,ottawa
885,13722,6.0,ottawa
904,9975,7.0,ottawa
904,12467,6.0,ottawa
904,17688,5.0,ottawa
906,20021,8.0,ottawa
915,6177,4.0,ottawa
915,13158,6.0,ottawa
915,13838,6.0,ottawa
915,14210,6.0,ottawa
915,14246,6.0,ottawa
915,18244,6.0,ottawa
927,16453,5.0,ottawa
938,20648,1.0,ottawa
942,4080,7.0,ottawa
947,11929,8.0,ottawa
947,17085,7.0,ottawa
964,7998,5.0,ottawa
989,668,9.0,ottawa
989,3884,7.0,ottawa
989,22752,9.0,ottawa
989,24797,5.0,ottawa
1001,13243,4.0,ottawa
1001,20554,5.0,ottawa
1029,9426,7.0,ottawa
1032,13116,7.0,ottawa
1049,3200,7.0,ottawa
1053,1885,7.0,ottawa
1053,18943,6.0,ottawa
1087,2127,6.0,ottawa
1087,9954,7.0,ottawa
1087,18775,7.0,ottawa
1087,24720,5.0,ottawa
1098,9427,7.0,ottawa
1098,21468,4.0,ottawa
1098,23844,5.0,ottawa
1121,36785,4.0,ottawa
1138,18133,8.0,ottawa
1138,23091,7.0,ottawa
1161,23181,6.0,ottawa
1168,2733,3.0,ottawa
1168,18284,5.0,ottawa
1168,19463,3.0,ottawa
1170,4755,4.0,ottawa
1176,12179,5.0,ottawa
1176,18351,7.0,ottawa
1176,29874,6.0,ottawa
1179,3628,9.0,ottawa
1193,21075,6.0,ottawa
1200,16564,5.0,ottawa
1200,29864,4.0,ottawa
1202,1778,8.0,ottawa
1202,4530,7.0,ottawa
1202,12825,7.0,ottawa
1202,13223,8.0,ottawa
1202,13915,7.0,ottawa
1202,21330,7.0,ottawa
1202,21938,9.0,ottawa
1202,29406,4.0,ottawa
1225,127,8.0,ottawa
1225,1317,5.0,ottawa
1225,4123,7.0,ottawa
1225,11182,9.0,ottawa
1225,13841,9.0,ottawa
1225,14437,7.0,ottawa
1225,14438,8.0,ottawa
1225,19565,9.0,ottawa
1225,20223,9.0,ottawa
1225,20589,9.0,ottawa
1225,20817,8.0,ottawa
1225,24245,9.0,ottawa
1225,25418,9.0,ottawa
1225,26636,6.0,ottawa
1225,26934,7.0,ottawa
1225,27607,9.0,ottawa
1225,28768,5.0,ottawa
1225,29185,9.0,ottawa
1225,29255,6.0,ottawa
1225,33159,4.0,ottawa
1229,6167,6.0,ottawa
1229,12842,6.0,ottawa
1229,25443,8.0,ottawa
1240,47,6.0,ottawa
1240,1181,8.0,ottawa
1240,1527,4.0,ottawa
1240,4090,9.0,ottawa
1240,6615,9.0,ottawa
1240,7771,8.0,ottawa
1240,9378,8.0,ottawa
1240,9521,2.0,ottawa
1240,10940,6.0,ottawa
1240,11142,9.0,ottawa
1240,11656,9.0,ottawa
1240,11762,7.0,ottawa
1240,12553,8.0,ottawa
1240,15898,7.0,ottawa
1240,16686,6.0,ottawa
1240,16688,6.0,ottawa
1240,16690,5.0,ottawa
1240,19393,5.0,ottawa
1240,19876,9.0,ottawa
1240,20836,6.0,ottawa
1240,21152,9.0,ottawa
1240,21590,9.0,ottawa
1240,21710,6.0,ottawa
1240,21714,9.0,ottawa
1240,21723,9.0,ottawa
1240,22781,8.0,ottawa
1240,23085,7.0,ottawa
1240,23089,7.0,ottawa
1240,23097,9.0,ottawa
1240,24574,7.0,ottawa
1240,24786,7.0,ottawa
1240,27895,8.0,ottawa
1240,28316,9.0,ottawa
1240,28339,9.0,ottawa
1240,28341,9.0,ottawa
1240,28342,9.0,ottawa
1240,30977,9.0,ottawa
1240,32724,9.0,ottawa
1254,3161,8.0,ottawa
1278,8390,2.0,ottawa
1291,17911,7.0,ottawa
1294,29406,5.0,ottawa
1316,6615,8.0,ottawa
1316,29911,6.0,ottawa
1320,25213,8.0,ottawa
1321,26671,9.0,ottawa
1353,5916,6.0,ottawa
1353,5930,7.0,ottawa
1353,5941,8.0,ottawa
1353,5973,8.0,ottawa
1353,7339,8.0,ottawa
1353,7351,8.0,ottawa
1353,7377,8.0,ottawa
1353,7396,8.0,ottawa
1353,7466,8.0,ottawa
1353,7471,8.0,ottawa
1353,7472,7.0,ottawa
1353,7503,8.0,ottawa
1353,7519,8.0,ottawa
1353,7542,8.0,ottawa
1353,7543,8.0,ottawa
1353,7554,7.0,ottawa
1353,7700,8.0,ottawa
1353,7720,8.0,ottawa
1353,9609,6.0,ottawa
1353,9864,8.0,ottawa
1353,12035,7.0,ottawa
1353,13687,7.0,ottawa
1353,14887,8.0,ottawa
1353,15578,2.0,ottawa
1353,17630,4.0,ottawa
1353,18064,8.0,ottawa
1353,23430,6.0,ottawa
1353,25225,6.0,ottawa
1353,26345,6.0,ottawa
1353,26412,7.0,ottawa
1353,26448,6.0,ottawa
1353,26503,7.0,ottawa
1353,27394,5.0,ottawa
1353,28185,8.0,ottawa
1353,28720,5.0,ottawa
1353,28810,7.0,ottawa
1408,6276,7.0,ottawa
1408,7793,6.0,ottawa
1408,7915,8.0,ottawa
1411,20124,4.0,ottawa
1418,14390,8.0,ottawa
1434,3388,6.0,ottawa
1434,18920,8.0,ottawa
1434,20509,5.0,ottawa
1438,13966,3.0,ottawa
1439,29387,8.0,ottawa
1462,24655,7.0,ottawa
1472,9475,5.0,ottawa
1472,15222,7.0,ottawa
1472,19208,7.0,ottawa
1488,3549,7.0,ottawa
1488,21492,4.0,ottawa
1514,14565,9.0,ottawa
1529,19724,9.0,ottawa
1539,1777,7.0,ottawa
1565,12271,2.0,ottawa
1595,6678,8.0,ottawa
1595,14744,7.0,ottawa
1595,24661,6.0,ottawa
1605,19242,8.0,ottawa
1652,15558,8.0,ottawa
1652,15562,7.0,ottawa
1652,15574,6.0,ottawa
1652,15599,8.0,ottawa
1652,25383,7.0,ottawa
1657,14642,7.0,ottawa
1657,17829,7.0,ottawa
1657,21075,2.0,ottawa
1658,10400,7.0,ottawa
1674,2920,7.0,ottawa
1675,12101,7.0,ottawa
1704,854,8.0,ottawa
1704,1804,9.0,ottawa
1704,2626,9.0,ottawa
1704,6615,9.0,ottawa
1704,7399,4.0,ottawa
1704,7487,4.0,ottawa
1704,9583,7.0,ottawa
1704,10400,9.0,ottawa
1704,12781,9.0,ottawa
1704,14399,9.0,ottawa
1704,20278,9.0,ottawa
1704,21215,8.0,ottawa
1704,29312,8.0,ottawa
1709,7777,5.0,ottawa
1709,9817,6.0,ottawa
1709,12095,6.0,ottawa
1709,13139,4.0,ottawa
1709,17966,7.0,ottawa
1760,5148,8.0,ottawa
1788,6822,4.0,ottawa
1788,10388,4.0,ottawa
1817,2046,4.0,ottawa
1817,6337,4.0,ottawa
1817,6758,4.0,ottawa
1817,7069,4.0,ottawa
1817,15110,4.0,ottawa
1817,16066,4.0,ottawa
1817,18309,4.0,ottawa
1817,18911,4.0,ottawa
1817,18913,4.0,ottawa
1817,18914,4.0,ottawa
1817,22773,4.0,ottawa
1817,24673,4.0,ottawa
1817,26459,4.0,ottawa
1832,1225,9.0,ottawa
1832,1346,6.0,ottawa
1832,3130,8.0,ottawa
1832,4099,9.0,ottawa
1832,5148,9.0,ottawa
1832,6592,8.0,ottawa
1832,6715,9.0,ottawa
1832,7945,8.0,ottawa
1832,8139,8.0,ottawa
1832,9807,7.0,ottawa
1832,10723,9.0,ottawa
1832,13102,7.0,ottawa
1832,14102,6.0,ottawa
1832,14399,7.0,ottawa
1832,17492,3.0,ottawa
1832,18182,5.0,ottawa
1832,19877,8.0,ottawa
1832,20695,5.0,ottawa
1832,21792,9.0,ottawa
1832,23559,6.0,ottawa
1832,30013,8.0,ottawa
1832,30028,5.0,ottawa
1832,30233,9.0,ottawa
1832,30813,8.0,ottawa
1832,32790,9.0,ottawa
1842,15068,4.0,ottawa
1866,13033,9.0,ottawa
1866,13057,6.0,ottawa
1866,13073,9.0,ottawa
1866,17586,6.0,ottawa
1866,20076,6.0,ottawa
1904,7559,8.0,ottawa
1904,12222,6.0,ottawa
1908,11242,6.0,ottawa
1931,29644,3.0,ottawa
1943,2278,8.0,ottawa
1943,17952,7.0,ottawa
1944,9475,9.0,ottawa
1944,31915,9.0,ottawa
1954,17126,4.0,ottawa
1967,30915,9.0,ottawa
2006,1778,9.0,ottawa
2006,6653,8.0,ottawa
2006,7502,7.0,ottawa
2006,7788,7.0,ottawa
2006,10017,9.0,ottawa
2006,11217,9.0,ottawa
2006,15898,9.0,ottawa
2006,25904,7.0,ottawa
2006,26333,7.0,ottawa
2039,30888,5.0,ottawa
2053,17586,8.0,ottawa
2053,17588,9.0,ottawa
2056,25893,7.0,ottawa
2080,20651,6.0,ottawa
2097,17,8.0,ottawa
2097,356,6.0,ottawa
2097,2718,8.0,ottawa
2097,2740,9.0,ottawa
2097,4725,7.0,ottawa
2097,4740,6.0,ottawa
2097,5003,7.0,ottawa
2097,11135,5.0,ottawa
2097,11146,8.0,ottawa
2097,11474,7.0,ottawa
2097,12267,6.0,ottawa
2097,13901,6.0,ottawa
2097,16041,8.0,ottawa
2097,16061,7.0,ottawa
2097,16099,8.0,ottawa
2097,16880,6.0,ottawa
2097,17840,8.0,ottawa
2097,17937,8.0,ottawa
2097,19349,7.0,ottawa
2097,19486,7.0,ottawa
2097,19787,5.0,ottawa
2097,20021,8.0,ottawa
2097,20470,6.0,ottawa
2097,22544,7.0,ottawa
2097,27054,8.0,ottawa
2097,27673,8.0,ottawa
