user_idx,book_idx,rating,city
10609,52052,8.0,paris
10677,52615,10.0,paris
75,51534,8.0,paris
102,52500,10.0,paris
212,51544,8.0,paris
261,19822,8.0,paris
261,35894,7.0,paris
321,51329,8.0,paris
321,51372,6.0,paris
321,51374,10.0,paris
321,51376,8.0,paris
321,51388,7.0,paris
321,51414,10.0,paris
321,51436,9.0,paris
321,51461,10.0,paris
321,51512,10.0,paris
321,51524,8.0,paris
321,51527,9.0,paris
321,51543,10.0,paris
321,51601,7.0,paris
321,51654,10.0,paris
321,51716,10.0,paris
321,51763,9.0,paris
321,51764,10.0,paris
321,51804,10.0,paris
321,51806,10.0,paris
321,51857,9.0,paris
321,51871,9.0,paris
321,51881,10.0,paris
321,51886,8.0,paris
321,51939,10.0,paris
321,51944,10.0,paris
321,51971,10.0,paris
321,52097,10.0,paris
321,52210,8.0,paris
321,52338,8.0,paris
321,52356,5.0,paris
321,52460,9.0,paris
321,52545,10.0,paris
321,52546,9.0,paris
321,52555,8.0,paris
321,52565,9.0,paris
321,52572,8.0,paris
321,52585,10.0,paris
321,52625,7.0,paris
321,52640,9.0,paris
321,52661,10.0,paris
321,52698,8.0,paris
321,52705,8.0,paris
321,52726,10.0,paris
321,52783,9.0,paris
321,52796,9.0,paris
321,52814,10.0,paris
321,52819,10.0,paris
378,25522,10.0,paris
378,33882,7.0,paris
378,47568,9.0,paris
403,3364,10.0,paris
482,23648,10.0,paris
482,51751,6.0,paris
482,52002,9.0,paris
482,52096,8.0,paris
482,52290,10.0,paris
482,52293,10.0,paris
482,52302,3.0,paris
482,52338,10.0,paris
482,52352,9.0,paris
482,52377,10.0,paris
482,52396,10.0,paris
482,52401,8.0,paris
482,52489,7.0,paris
501,52014,7.0,paris
535,19932,8.0,paris
535,31015,8.0,paris
535,51620,10.0,paris
535,51658,8.0,paris
535,51919,10.0,paris
535,52305,10.0,paris
535,52430,10.0,paris
535,52611,9.0,paris
592,51350,8.0,paris
618,51527,9.0,paris
618,52101,8.0,paris
628,52050,10.0,paris
641,52782,10.0,paris
713,52337,10.0,paris
871,52474,9.0,paris
905,51574,10.0,paris
1196,51473,6.0,paris
1311,52252,10.0,paris
1315,52676,9.0,paris
1366,52782,10.0,paris
1375,52053,10.0,paris
1476,51460,10.0,paris
1497,52782,10.0,paris
1551,52302,8.0,paris
1637,52064,8.0,paris
1684,49589,8.0,paris
1779,2518,10.0,paris
1779,3625,8.0,paris
1779,11281,8.0,paris
1779,11333,10.0,paris
1779,48221,7.0,paris
1779,51637,7.0,paris
1779,51788,10.0,paris
1779,51839,10.0,paris
1779,51909,10.0,paris
1779,51939,9.0,paris
1779,51948,9.0,paris
1779,52057,10.0,paris
1779,52266,10.0,paris
1779,52285,10.0,paris
1779,52489,10.0,paris
1779,52611,8.0,paris
1779,52659,9.0,paris
1779,52747,9.0,paris
1868,52375,7.0,paris
1868,52411,3.0,paris
1983,52279,10.0,paris
1983,52332,7.0,paris
2044,52808,7.0,paris
2062,51631,10.0,paris
2156,51421,8.0,paris
2156,51844,8.0,paris
2156,51846,10.0,paris
2156,51928,8.0,paris
2156,51948,8.0,paris
2156,51959,7.0,paris
2156,52001,9.0,paris
2156,52009,5.0,paris
2156,52038,10.0,paris
2156,52094,3.0,paris
2156,52112,10.0,paris
2156,52170,7.0,paris
2156,52197,10.0,paris
2156,52217,8.0,paris
2156,52244,10.0,paris
2156,52297,8.0,paris
2156,52305,8.0,paris
2156,52306,6.0,paris
2156,52312,8.0,paris
2156,52315,8.0,paris
2156,52339,8.0,paris
2156,52446,7.0,paris
2156,52561,10.0,paris
2230,51473,9.0,paris
2230,52127,10.0,paris
2230,52175,9.0,paris
2230,52738,9.0,paris
2230,52797,8.0,paris
2324,626,9.0,paris
2324,1964,8.0,paris
2324,6563,9.0,paris
2324,15001,6.0,paris
2324,18811,8.0,paris
2324,26549,10.0,paris
2324,34423,6.0,paris
2324,43144,10.0,paris
2324,50348,8.0,paris
2436,777,10.0,paris
2436,2126,10.0,paris
2436,3847,10.0,paris
2436,5133,10.0,paris
2436,20148,10.0,paris
2436,26028,7.0,paris
2436,46845,9.0,paris
2436,49756,10.0,paris
2436,49834,7.0,paris
2443,26774,6.0,paris
2492,52266,10.0,paris
2507,40886,10.0,paris
2666,39106,9.0,paris
2733,52292,9.0,paris
2755,2253,9.0,paris
2755,9282,9.0,paris
2755,9489,10.0,paris
2755,9646,10.0,paris
2755,11453,9.0,paris
2755,16285,10.0,paris
2755,17915,10.0,paris
2755,21495,9.0,paris
2755,21529,10.0,paris
2755,28029,10.0,paris
2755,29583,6.0,paris
2755,30192,10.0,paris
2755,33807,10.0,paris
2764,52338,8.0,paris
2792,18642,8.0,paris
2792,19544,9.0,paris
2821,22784,7.0,paris
2821,51350,5.0,paris
2821,51492,10.0,paris
2821,51971,7.0,paris
2821,52408,4.0,paris
2847,4039,9.0,paris
2927,40355,10.0,paris
2927,52324,10.0,paris
3052,51645,7.0,paris
3099,51350,5.0,paris
3099,51504,6.0,paris
3099,51533,6.0,paris
3099,51539,6.0,paris
3099,51564,6.0,paris
3099,51737,9.0,paris
3099,51990,10.0,paris
3099,52014,6.0,paris
3099,52019,8.0,paris
3099,52064,5.0,paris
3099,52136,8.0,paris
3099,52139,8.0,paris
3099,52151,7.0,paris
3275,51305,9.0,paris
3334,51584,9.0,paris
3334,52356,9.0,paris
3335,42370,7.0,paris
3369,21518,9.0,paris
3369,27792,9.0,paris
3369,51671,7.0,paris
3369,51724,8.0,paris
3369,51890,9.0,paris
3369,52738,10.0,paris
3484,16172,10.0,paris
3597,51456,9.0,paris
3886,52222,9.0,paris
3886,52614,10.0,paris
3886,52729,5.0,paris
4023,51453,7.0,paris
4113,51493,8.0,paris
4113,51839,10.0,paris
4113,52056,9.0,paris
4113,52207,8.0,paris
4113,52356,9.0,paris
4113,52419,8.0,paris
4113,52511,6.0,paris
4113,52561,10.0,paris
4210,51307,7.0,paris
4346,52794,6.0,paris
4365,25828,6.0,paris
4448,52615,6.0,paris
4598,51890,9.0,paris
4697,33076,6.0,paris
4818,36218,7.0,paris
4818,52747,9.0,paris
4862,32199,10.0,paris
5088,3326,8.0,paris
5088,3943,10.0,paris
5088,51305,10.0,paris
5088,51381,10.0,paris
5088,51472,10.0,paris
5088,51584,10.0,paris
5088,51620,10.0,paris
5088,51971,10.0,paris
5088,52062,8.0,paris
5088,52305,10.0,paris
5088,52369,8.0,paris
5088,52489,8.0,paris
5136,52638,9.0,paris
5192,51637,10.0,paris
5285,51636,8.0,paris
5285,52344,9.0,paris
5421,51455,10.0,paris
5479,51347,10.0,paris
5479,51350,10.0,paris
5479,51352,10.0,paris
5479,51381,10.0,paris
5479,51384,10.0,paris
5479,51533,8.0,paris
5479,51585,9.0,paris
5479,52052,9.0,paris
5479,52094,8.0,paris
5479,52247,9.0,paris
5479,52352,9.0,paris
5479,52365,10.0,paris
5479,52375,9.0,paris
5479,52378,10.0,paris
5479,52380,10.0,paris
5479,57829,8.0,paris
5516,12014,7.0,paris
5516,51473,8.0,paris
5516,51919,10.0,paris
5516,52223,7.0,paris
5516,52394,9.0,paris
5516,52423,10.0,paris
5516,52750,9.0,paris
5536,51420,9.0,paris
5552,16360,8.0,paris
5597,52630,9.0,paris
5633,3921,8.0,paris
5633,51620,10.0,paris
5633,51949,8.0,paris
5735,3943,9.0,paris
5735,4910,10.0,paris
5735,33849,10.0,paris
5735,51513,9.0,paris
5735,51908,10.0,paris
5735,51990,10.0,paris
5735,52019,10.0,paris
5735,52052,8.0,paris
5735,52127,10.0,paris
5735,52133,8.0,paris
5735,52305,10.0,paris
5735,52497,8.0,paris
5735,52759,9.0,paris
5771,52262,9.0,paris
5990,52095,6.0,paris
6013,51456,7.0,paris
6034,26106,9.0,paris
6069,27166,9.0,paris
6069,51388,2.0,paris
6069,51788,10.0,paris
6069,51890,3.0,paris
6069,52002,9.0,paris
6069,52127,10.0,paris
6069,52233,2.0,paris
6069,52290,10.0,paris
6069,52303,9.0,paris
6069,52360,10.0,paris
6069,52365,10.0,paris
6069,52380,10.0,paris
6069,52396,8.0,paris
6069,52659,10.0,paris
6069,52660,10.0,paris
6087,52676,10.0,paris
6342,51639,10.0,paris
6342,52400,8.0,paris
6342,52563,8.0,paris
