user_idx,book_idx,rating,city
4943,25867,4.0,portland
4945,9374,6.0,portland
4945,12264,6.0,portland
4945,17734,5.0,portland
4945,18227,7.0,portland
0,641,7.0,portland
10,6538,4.0,portland
10,9267,5.0,portland
10,15895,6.0,portland
10,19724,5.0,portland
10,25918,7.0,portland
11,1422,7.0,portland
11,15188,7.0,portland
11,22993,6.0,portland
12,12904,6.0,portland
14,1903,4.0,portland
15,19044,8.0,portland
42,21710,8.0,portland
48,30174,4.0,portland
70,1497,5.0,portland
79,21303,8.0,portland
110,13862,7.0,portland
119,17472,9.0,portland
135,25537,7.0,portland
163,5310,5.0,portland
163,23098,7.0,portland
178,13338,8.0,portland
178,18954,9.0,portland
193,643,7.0,portland
193,3051,7.0,portland
193,7632,6.0,portland
193,12123,8.0,portland
193,13028,8.0,portland
212,4545,1.0,portland
214,20260,8.0,portland
263,29519,5.0,portland
266,19420,7.0,portland
293,27223,4.0,portland
313,14298,7.0,portland
364,9425,7.0,portland
372,1632,9.0,portland
372,10137,9.0,portland
372,17825,7.0,portland
372,29901,9.0,portland
384,6598,9.0,portland
394,6660,7.0,portland
397,16688,7.0,portland
414,17927,6.0,portland
416,7585,4.0,portland
416,25872,8.0,portland
416,32883,8.0,portland
421,29542,4.0,portland
431,4092,4.0,portland
431,4123,8.0,portland
431,4193,7.0,portland
431,12842,8.0,portland
431,17723,9.0,portland
431,27671,8.0,portland
431,30904,8.0,portland
438,518,7.0,portland
438,10828,7.0,portland
438,11806,7.0,portland
438,11820,8.0,portland
438,11822,6.0,portland
438,14556,6.0,portland
438,21710,7.0,portland
438,24574,5.0,portland
471,9442,7.0,portland
471,9476,7.0,portland
471,9515,6.0,portland
471,25330,4.0,portland
471,27578,9.0,portland
471,31210,7.0,portland
472,12614,4.0,portland
487,674,5.0,portland
487,6174,5.0,portland
487,6232,7.0,portland
487,6311,7.0,portland
487,17306,6.0,portland
492,839,8.0,portland
492,1258,7.0,portland
492,1421,6.0,portland
492,1497,7.0,portland
492,3245,5.0,portland
