user_idx,book_idx,rating,city
10656,2416,10.0,san antonio
10656,5032,9.0,san antonio
10656,10978,8.0,san antonio
10656,12272,10.0,san antonio
10656,14436,10.0,san antonio
10656,14468,9.0,san antonio
10656,19412,9.0,san antonio
10656,20290,9.0,san antonio
10656,21408,8.0,san antonio
10656,22034,9.0,san antonio
10656,24812,9.0,san antonio
10656,29888,5.0,san antonio
10656,30455,9.0,san antonio
10656,30630,10.0,san antonio
10656,33313,9.0,san antonio
10656,39390,9.0,san antonio
10656,44495,10.0,san antonio
10656,47013,10.0,san antonio
10656,47022,9.0,san antonio
87,24942,10.0,san antonio
87,25022,8.0,san antonio
87,31285,10.0,san antonio
96,528,7.0,san antonio
96,15889,10.0,san antonio
265,30575,9.0,san antonio
404,39398,8.0,san antonio
433,16305,9.0,san antonio
433,39725,10.0,san antonio
555,17671,9.0,san antonio
591,3024,9.0,san antonio
591,17856,7.0,san antonio
591,33331,10.0,san antonio
802,19043,8.0,san antonio
814,30318,10.0,san antonio
814,47706,8.0,san antonio
922,49029,10.0,san antonio
1002,45622,10.0,san antonio
1357,5131,6.0,san antonio
1357,19633,6.0,san antonio
1357,21302,6.0,san antonio
1357,21517,6.0,san antonio
1692,9379,8.0,san antonio
1692,14690,9.0,san antonio
1692,19780,7.0,san antonio
1692,20713,7.0,san antonio
1692,25522,10.0,san antonio
1781,1270,10.0,san antonio
1781,1527,9.0,san antonio
1781,1542,8.0,san antonio
1781,1543,8.0,san antonio
1781,1747,10.0,san antonio
1781,1835,10.0,san antonio
1781,2053,8.0,san antonio
1781,2078,7.0,san antonio
1781,2094,7.0,san antonio
1781,2126,6.0,san antonio
1781,4435,8.0,san antonio
1781,4570,5.0,san antonio
1781,4830,8.0,san antonio
1781,5151,6.0,san antonio
1781,5156,8.0,san antonio
1781,5523,8.0,san antonio
1781,5659,10.0,san antonio
1781,5781,8.0,san antonio
1781,6205,10.0,san antonio
1781,6218,7.0,san antonio
1781,7758,9.0,san antonio
1781,7898,10.0,san antonio
1781,8623,8.0,san antonio
1781,9636,9.0,san antonio
1781,9669,7.0,san antonio
1781,9751,8.0,san antonio
1781,10670,10.0,san antonio
