user_idx,book_idx,rating,city
10624,1270,9.0,san francisco
10624,10056,9.0,san francisco
10624,19503,8.0,san francisco
10624,26863,9.0,san francisco
10624,27317,9.0,san francisco
10624,29790,9.0,san francisco
10624,30112,9.0,san francisco
10624,30855,9.0,san francisco
10638,23887,7.0,san francisco
10642,9716,5.0,san francisco
10642,18636,7.0,san francisco
10649,23816,7.0,san francisco
10649,30575,6.0,san francisco
10674,42556,8.0,san francisco
88,27483,6.0,san francisco
146,40237,7.0,san francisco
153,13491,1.0,san francisco
185,16906,9.0,san francisco
189,23247,1.0,san francisco
206,16572,6.0,san francisco
221,21844,6.0,san francisco
221,40477,4.0,san francisco
253,5809,9.0,san francisco
272,13939,7.0,san francisco
281,14697,8.0,san francisco
282,2021,6.0,san francisco
296,1922,8.0,san francisco
296,6176,8.0,san francisco
296,32763,4.0,san francisco
296,33538,9.0,san francisco
296,35197,5.0,san francisco
296,35493,4.0,san francisco
296,48075,5.0,san francisco
297,5979,6.0,san francisco
315,2109,8.0,san francisco
315,4853,9.0,san francisco
315,9669,9.0,san francisco
315,9716,7.0,san francisco
315,13501,8.0,san francisco
315,14030,6.0,san francisco
315,14903,7.0,san francisco
315,19988,6.0,san francisco
315,27009,9.0,san francisco
315,29840,5.0,san francisco
315,30192,9.0,san francisco
315,32389,4.0,san francisco
329,27290,6.0,san francisco
351,26973,7.0,san francisco
368,20981,9.0,san francisco
368,48284,8.0,san francisco
369,32252,8.0,san francisco
506,2805,7.0,san francisco
517,4471,4.0,san francisco
554,19757,7.0,san francisco
594,1922,7.0,san francisco
595,4471,8.0,san francisco
596,3847,9.0,san francisco
596,13917,9.0,san francisco
596,32814,9.0,san francisco
596,34284,9.0,san francisco
596,34487,9.0,san francisco
718,11822,5.0,san francisco
718,18810,7.0,san francisco
718,21541,6.0,san francisco
718,46535,6.0,san francisco
735,33072,5.0,san francisco
742,1096,8.0,san francisco
742,1138,8.0,san francisco
742,1726,7.0,san francisco
742,1742,6.0,san francisco
742,1963,9.0,san francisco
742,5809,9.0,san francisco
742,6205,6.0,san francisco
742,8033,4.0,san francisco
742,8284,7.0,san francisco
742,8630,4.0,san francisco
742,9642,7.0,san francisco
742,11477,8.0,san francisco
742,11693,7.0,san francisco
742,11792,4.0,san francisco
742,13974,6.0,san francisco
742,16282,9.0,san francisco
742,16345,6.0,san francisco
742,18831,8.0,san francisco
742,25229,7.0,san francisco
742,32193,8.0,san francisco
742,32503,7.0,san francisco
742,32831,6.0,san francisco
742,33427,6.0,san francisco
742,33504,5.0,san francisco
742,35069,7.0,san francisco
742,35273,7.0,san francisco
742,40291,7.0,san francisco
742,44244,9.0,san francisco
742,47023,6.0,san francisco
742,48242,6.0,san francisco
742,50945,3.0,san francisco
756,13916,7.0,san francisco
756,21233,4.0,san francisco
756,38761,7.0,san francisco
756,48900,8.0,san francisco
756,50706,7.0,san francisco
777,21662,7.0,san francisco
783,1282,8.0,san francisco
876,8060,8.0,san francisco
876,19975,9.0,san francisco
876,33862,9.0,san francisco
876,47168,7.0,san francisco
876,50201,8.0,san francisco
964,9716,9.0,san francisco
1025,2114,6.0,san francisco
1025,8627,7.0,san francisco
1025,8630,4.0,san francisco
1025,21861,9.0,san francisco
1025,39729,4.0,san francisco
1025,44624,8.0,san francisco
1059,14637,4.0,san francisco
1059,19728,7.0,san francisco
1059,22296,8.0,san francisco
1059,31474,5.0,san francisco
1059,31740,7.0,san francisco
1059,39733,9.0,san francisco
1077,16879,5.0,san francisco
1112,40360,7.0,san francisco
1198,5371,6.0,san francisco
1260,4504,8.0,san francisco
1313,29883,3.0,san francisco
1314,42692,9.0,san francisco
1330,7802,6.0,san francisco
1330,19849,6.0,san francisco
1330,23980,6.0,san francisco
1330,26863,6.0,san francisco
1330,27484,9.0,san francisco
1330,30192,7.0,san francisco
1363,16337,4.0,san francisco
1391,9203,6.0,san francisco
1391,18658,3.0,san francisco
1409,25191,8.0,san francisco
1409,27563,2.0,san francisco
1409,38558,7.0,san francisco
1459,45569,9.0,san francisco
1487,2109,7.0,san francisco
1487,11560,7.0,san francisco
1487,18536,3.0,san francisco
1487,30603,6.0,san francisco
1528,1893,9.0,san francisco
1528,5979,6.0,san francisco
1528,7802,7.0,san francisco
1528,9676,4.0,san francisco
1528,13565,9.0,san francisco
1528,13897,5.0,san francisco
1528,13935,8.0,san francisco
1528,16303,5.0,san francisco
1528,18547,1.0,san francisco
1528,18691,5.0,san francisco
1528,18973,6.0,san francisco
1528,19315,6.0,san francisco
1528,20878,7.0,san francisco
1528,21270,6.0,san francisco
1528,21529,4.0,san francisco
1528,21544,2.0,san francisco
1528,21556,5.0,san francisco
1528,21844,5.0,san francisco
1528,22784,9.0,san francisco
1528,22909,5.0,san francisco
1528,27335,7.0,san francisco
1528,30332,7.0,san francisco
1528,35627,5.0,san francisco
1566,762,7.0,san francisco
1566,23923,5.0,san francisco
1566,45595,5.0,san francisco
1572,4356,5.0,san francisco
1572,4914,6.0,san francisco
1572,6162,6.0,san francisco
1572,13909,5.0,san francisco
1572,14059,6.0,san francisco
1572,27096,9.0,san francisco
1572,30269,7.0,san francisco
1572,32734,5.0,san francisco
1572,33552,9.0,san francisco
1595,1275,6.0,san francisco
1595,4901,6.0,san francisco
1595,11530,5.0,san francisco
1595,15828,6.0,san francisco
1595,26566,9.0,san francisco
1604,33147,9.0,san francisco
1608,3931,9.0,san francisco
1608,26549,6.0,san francisco
1622,19855,7.0,san francisco
1624,14681,7.0,san francisco
1624,32129,7.0,san francisco
1630,4930,5.0,san francisco
1630,8613,7.0,san francisco
1630,48766,4.0,san francisco
1645,8284,9.0,san francisco
1731,25131,5.0,san francisco
1771,14059,4.0,san francisco
1771,16360,5.0,san francisco
1771,46856,4.0,san francisco
1806,11082,7.0,san francisco
1806,11457,7.0,san francisco
1850,35100,6.0,san francisco
1882,2142,3.0,san francisco
1889,2822,9.0,san francisco
1889,4091,9.0,san francisco
1889,5881,5.0,san francisco
1889,7821,3.0,san francisco
1889,11172,7.0,san francisco
1889,13412,8.0,san francisco
1889,13784,8.0,san francisco
1889,15070,6.0,san francisco
1889,18500,7.0,san francisco
1889,19647,7.0,san francisco
1889,20796,8.0,san francisco
1889,20919,5.0,san francisco
1889,21375,4.0,san francisco
1889,22050,7.0,san francisco
1889,26430,7.0,san francisco
1889,27212,8.0,san francisco
1889,27813,9.0,san francisco
1889,29547,5.0,san francisco
1889,30876,9.0,san francisco
1889,31002,8.0,san francisco
1889,32706,8.0,san francisco
1889,33925,9.0,san francisco
1889,37508,6.0,san francisco
1889,38583,4.0,san francisco
1889,39457,5.0,san francisco
1889,45950,9.0,san francisco
1889,45951,7.0,san francisco
1889,48257,7.0,san francisco
1915,2701,4.0,san francisco
1940,13517,7.0,san francisco
1973,15407,7.0,san francisco
1977,16241,9.0,san francisco
1978,3885,4.0,san francisco
1978,8060,6.0,san francisco
1978,32646,6.0,san francisco
2020,12569,6.0,san francisco
2020,22939,3.0,san francisco
2020,39143,7.0,san francisco
2027,23969,8.0,san francisco
2102,21880,4.0,san francisco
2105,1922,9.0,san francisco
2105,42814,8.0,san francisco
2105,43128,7.0,san francisco
2105,52975,7.0,san francisco
2131,9379,8.0,san francisco
2132,32120,7.0,san francisco
2154,21270,4.0,san francisco
2154,32602,1.0,san francisco
2154,38588,7.0,san francisco
2154,40636,7.0,san francisco
2203,30112,6.0,san francisco
2203,39466,7.0,san francisco
2217,13861,6.0,san francisco
2273,4278,9.0,san francisco
2273,4617,6.0,san francisco
2273,11479,6.0,san francisco
2273,14073,5.0,san francisco
2273,19839,6.0,san francisco
2273,22343,7.0,san francisco
2273,32654,6.0,san francisco
2273,32678,6.0,san francisco
2273,33284,7.0,san francisco
2273,35494,5.0,san francisco
2281,33087,7.0,san francisco
2285,22909,6.0,san francisco
2286,9680,5.0,san francisco
2289,30108,6.0,san francisco
2304,11169,5.0,san francisco
2304,14819,7.0,san francisco
2304,25896,4.0,san francisco
2304,26876,6.0,san francisco
2304,39357,5.0,san francisco
2304,39626,7.0,san francisco
2304,41536,7.0,san francisco
2304,43261,5.0,san francisco
2310,1264,8.0,san francisco
2310,17475,7.0,san francisco
2330,16042,6.0,san francisco
2377,10989,8.0,san francisco
2474,41265,3.0,san francisco
2567,32622,8.0,san francisco
2567,32651,7.0,san francisco
2593,2095,9.0,san francisco
2593,4060,8.0,san francisco
2593,4337,7.0,san francisco
2593,26859,7.0,san francisco
2593,40335,1.0,san francisco
2602,32446,7.0,san francisco
2613,33884,6.0,san francisco
2656,32958,7.0,san francisco
2665,20832,6.0,san francisco
2690,8997,6.0,san francisco
2690,21302,6.0,san francisco
2690,21408,8.0,san francisco
2690,21482,7.0,san francisco
2690,26779,4.0,san francisco
2690,27619,6.0,san francisco
2712,32428,5.0,san francisco
2756,29376,4.0,san francisco
2769,23787,8.0,san francisco
2770,1281,9.0,san francisco
2770,9669,6.0,san francisco
2787,9438,4.0,san francisco
2787,13748,4.0,san francisco
2787,29561,7.0,san francisco
2787,35746,7.0,san francisco
2812,9718,7.0,san francisco
2813,21665,7.0,san francisco
2910,27169,6.0,san francisco
2964,19988,4.0,san francisco
3040,44414,9.0,san francisco
3083,22158,7.0,san francisco
3111,32629,8.0,san francisco
3120,11496,6.0,san francisco
3120,13993,8.0,san francisco
3168,13646,4.0,san francisco
3209,9716,7.0,san francisco
3252,14049,4.0,san francisco
3276,4647,6.0,san francisco
3282,6925,6.0,san francisco
3287,4471,8.0,san francisco
3301,13646,7.0,san francisco
3301,16945,7.0,san francisco
3326,31043,5.0,san francisco
3359,8060,4.0,san francisco
3366,48267,6.0,san francisco
3426,4871,8.0,san francisco
3426,30396,8.0,san francisco
3430,4091,6.0,san francisco
3460,33298,7.0,san francisco
3596,1968,9.0,san francisco
3596,16097,4.0,san francisco
3596,45819,2.0,san francisco
3596,50515,2.0,san francisco
3637,20347,7.0,san francisco
3733,45919,7.0,san francisco
3742,9281,5.0,san francisco
3742,13656,4.0,san francisco
3742,19655,8.0,san francisco
3759,11051,8.0,san francisco
3759,13983,8.0,san francisco
3759,23353,6.0,san francisco
3759,24125,9.0,san francisco
3770,20022,8.0,san francisco
3784,9203,6.0,san francisco
3784,11456,7.0,san francisco
3784,29969,6.0,san francisco
3862,35202,6.0,san francisco
3865,46034,4.0,san francisco
3926,30200,9.0,san francisco
4063,14049,8.0,san francisco
4067,35723,6.0,san francisco
4102,19317,9.0,san francisco
4116,24952,4.0,san francisco
4126,16278,7.0,san francisco
4127,32671,8.0,san francisco
4200,16282,5.0,san francisco
4203,22696,9.0,san francisco
4220,33195,7.0,san francisco
4339,16123,5.0,san francisco
4349,21381,7.0,san francisco
4358,20128,8.0,san francisco
4371,35030,7.0,san francisco
4408,844,9.0,san francisco
4408,11383,9.0,san francisco
4408,16375,9.0,san francisco
4408,19194,7.0,san francisco
4408,19232,6.0,san francisco
4408,19563,9.0,san francisco
4408,19626,9.0,san francisco
4408,19642,7.0,san francisco
4408,19745,9.0,san francisco
4408,19906,9.0,san francisco
4408,22937,9.0,san francisco
4408,23099,9.0,san francisco
4408,28667,6.0,san francisco
4408,33842,8.0,san francisco
4408,35035,6.0,san francisco
4408,35852,9.0,san francisco
4408,45161,2.0,san francisco
4408,47332,8.0,san francisco
4408,49070,4.0,san francisco
4408,49410,9.0,san francisco
4450,3040,2.0,san francisco
4450,32993,9.0,san francisco
4450,37365,7.0,san francisco
4521,16897,7.0,san francisco
4564,9525,6.0,san francisco
4564,24310,5.0,san francisco
4564,28667,7.0,san francisco
4599,2142,9.0,san francisco
4607,16607,7.0,san francisco
4607,33643,6.0,san francisco
4663,27415,4.0,san francisco
4663,32889,8.0,san francisco
4687,1968,8.0,san francisco
4698,26955,4.0,san francisco
4705,41461,6.0,san francisco
4713,13491,6.0,san francisco
4727,32252,6.0,san francisco
4741,32433,6.0,san francisco
4755,4471,6.0,san francisco
4877,44167,9.0,san francisco
4915,23969,9.0,san francisco
4915,29840,6.0,san francisco
4948,1267,3.0,san francisco
4948,14918,6.0,san francisco
4948,15862,2.0,san francisco
4948,18601,1.0,san francisco
4948,32145,2.0,san francisco
4968,43552,7.0,san francisco
4997,48257,7.0,san francisco
4998,11802,4.0,san francisco
4999,57862,4.0,san francisco
5082,1968,4.0,san francisco
5098,8623,8.0,san francisco
5098,32135,6.0,san francisco
5098,37607,8.0,san francisco
5144,27087,4.0,san francisco
5151,5840,8.0,san francisco
5184,1900,6.0,san francisco
5218,9716,7.0,san francisco
5277,9669,8.0,san francisco
5287,27482,6.0,san francisco
5304,5809,8.0,san francisco
5304,13758,7.0,san francisco
5304,17886,5.0,san francisco
5306,1270,6.0,san francisco
5306,27325,4.0,san francisco
5306,33298,4.0,san francisco
5341,32760,6.0,san francisco
5391,1076,9.0,san francisco
5400,32246,7.0,san francisco
5404,1228,8.0,san francisco
5432,4471,7.0,san francisco
5434,48075,5.0,san francisco
5438,13955,8.0,san francisco
5438,35536,5.0,san francisco
5488,15802,7.0,san francisco
5557,33856,7.0,san francisco
5622,14973,5.0,san francisco
5624,1806,4.0,san francisco
5624,50671,8.0,san francisco
5628,27294,6.0,san francisco
5628,29465,9.0,san francisco
5643,8623,7.0,san francisco
5667,37885,8.0,san francisco
5721,16351,9.0,san francisco
5721,16614,3.0,san francisco
5721,48303,5.0,san francisco
5766,8284,5.0,san francisco
5766,9525,6.0,san francisco
5766,15929,5.0,san francisco
5780,1922,9.0,san francisco
5821,48712,6.0,san francisco
5823,48275,9.0,san francisco
5848,1727,6.0,san francisco
5848,2087,5.0,san francisco
5848,44688,7.0,san francisco
5863,17797,6.0,san francisco
5889,6176,8.0,san francisco
5899,8623,7.0,san francisco
5977,11051,6.0,san francisco
5977,11234,6.0,san francisco
5986,1275,4.0,san francisco
5986,1761,7.0,san francisco
5986,6002,4.0,san francisco
5986,14970,4.0,san francisco
5986,20981,4.0,san francisco
5986,29412,4.0,san francisco
5986,29750,6.0,san francisco
5986,32220,4.0,san francisco
5986,32404,5.0,san francisco
5986,32519,4.0,san francisco
5986,32555,4.0,san francisco
5986,32856,4.0,san francisco
5986,33180,4.0,san francisco
5986,33283,4.0,san francisco
5986,33538,4.0,san francisco
5986,37543,4.0,san francisco
5986,39790,7.0,san francisco
5986,43060,4.0,san francisco
5986,47029,4.0,san francisco
6127,27317,7.0,san francisco
6181,1772,9.0,san francisco
6181,2002,5.0,san francisco
6181,10990,9.0,san francisco
6181,10991,9.0,san francisco
6181,11297,5.0,san francisco
6181,19231,7.0,san francisco
6181,32233,8.0,san francisco
6181,39025,8.0,san francisco
6181,43356,6.0,san francisco
6181,44244,7.0,san francisco
6181,44986,9.0,san francisco
6185,2805,7.0,san francisco
6198,16153,6.0,san francisco
6205,32278,4.0,san francisco
6211,9669,8.0,san francisco
6211,16285,8.0,san francisco
6315,7802,5.0,san francisco
6315,11256,3.0,san francisco
6315,21658,6.0,san francisco
6315,23357,6.0,san francisco
6315,32070,6.0,san francisco
6315,32856,7.0,san francisco
6345,1281,9.0,san francisco
6378,5828,7.0,san francisco
6439,48230,7.0,san francisco
6447,9723,9.0,san francisco
6484,31307,4.0,san francisco
6490,287,8.0,san francisco
6490,21130,4.0,san francisco
6490,43148,9.0,san francisco
6490,45686,8.0,san francisco
6547,1968,8.0,san francisco
6702,14757,5.0,san francisco
6751,6106,4.0,san francisco
6751,31162,7.0,san francisco
6751,50539,4.0,san francisco
6754,11172,9.0,san francisco
6754,13470,5.0,san francisco
6769,4124,6.0,san francisco
6791,4901,7.0,san francisco
6807,5806,5.0,san francisco
6807,32013,8.0,san francisco
6814,31546,4.0,san francisco
6888,529,7.0,san francisco
6888,1116,9.0,san francisco
6888,1922,9.0,san francisco
6888,2875,2.0,san francisco
6888,6286,7.0,san francisco
6888,11649,8.0,san francisco
6888,16029,7.0,san francisco
6888,16047,7.0,san francisco
6888,16375,8.0,san francisco
6888,17049,4.0,san francisco
6888,17702,7.0,san francisco
6888,23583,4.0,san francisco
6888,26548,7.0,san francisco
6888,26859,9.0,san francisco
6888,27028,9.0,san francisco
6888,29882,8.0,san francisco
6888,30788,8.0,san francisco
6888,32400,4.0,san francisco
6888,32513,8.0,san francisco
6888,35493,5.0,san francisco
6888,38623,6.0,san francisco
6888,39398,8.0,san francisco
6888,41899,6.0,san francisco
6888,44309,6.0,san francisco
6888,46656,7.0,san francisco
6921,33032,8.0,san francisco
6938,33217,7.0,san francisco
6942,4106,7.0,san francisco
6990,8060,7.0,san francisco
7014,1968,7.0,san francisco
7055,44895,6.0,san francisco
7060,28822,5.0,san francisco
7060,43015,5.0,san francisco
7187,7923,7.0,san francisco
7189,4053,9.0,san francisco
7189,4380,9.0,san francisco
7189,11717,9.0,san francisco
7189,13917,9.0,san francisco
7189,16988,9.0,san francisco
7189,17610,9.0,san francisco
7189,20798,9.0,san francisco
7189,24298,9.0,san francisco
7189,30545,9.0,san francisco
7189,31672,9.0,san francisco
7189,32252,9.0,san francisco
7189,32417,9.0,san francisco
7189,34284,9.0,san francisco
7253,1950,7.0,san francisco
7315,41072,7.0,san francisco
7323,27029,6.0,san francisco
7352,9738,7.0,san francisco
7417,9669,9.0,san francisco
7483,3040,5.0,san francisco
7483,7679,7.0,san francisco
7483,9507,6.0,san francisco
7483,11154,9.0,san francisco
7483,21545,9.0,san francisco
7483,22866,4.0,san francisco
7483,38809,5.0,san francisco
7483,45819,1.0,san francisco
7535,40326,4.0,san francisco
7573,32856,9.0,san francisco
7674,3917,6.0,san francisco
7711,8284,7.0,san francisco
7711,21306,7.0,san francisco
7711,26549,8.0,san francisco
7713,33210,4.0,san francisco
7716,32880,8.0,san francisco
7735,16273,8.0,san francisco
7778,39733,8.0,san francisco
7778,48032,9.0,san francisco
7797,1748,7.0,san francisco
7797,1754,8.0,san francisco
7797,16968,6.0,san francisco
7797,32515,6.0,san francisco
7809,7923,7.0,san francisco
7836,33041,9.0,san francisco
7852,1922,8.0,san francisco
7852,8630,7.0,san francisco
7852,37582,6.0,san francisco
7852,39733,7.0,san francisco
7864,4739,8.0,san francisco
7896,8660,5.0,san francisco
7896,30436,4.0,san francisco
7896,35494,5.0,san francisco
7901,26548,8.0,san francisco
7901,48347,4.0,san francisco
7917,9669,7.0,san francisco
7962,13985,5.0,san francisco
7962,39698,8.0,san francisco
7971,1116,7.0,san francisco
7971,14049,7.0,san francisco
7971,25820,6.0,san francisco
8000,29840,7.0,san francisco
8027,17670,4.0,san francisco
8065,39450,7.0,san francisco
